Country Name,2011,2012,2013,2014,2015
Saudi Arabia,2.453717424,2.428240616,2.3620470730000003,2.244392708,2.094772383
Senegal,3.0420764360000003,3.11852864,3.149652545,3.125624981,3.065259815
Seychelles,-2.628656355,0.98098019,1.7923859359999998,1.6547536980000002,1.627816736
Sierra Leone,2.276660808,2.246551474,2.220706908,2.189341169,2.154661413
Singapore,2.084902456,2.45339033,1.6193080990000002,1.298440178,1.1863769370000001
Slovak Republic,0.128936463,0.170183855,0.10745800900000001,0.09704542199999999,0.09962465
Slovenia,0.207732702,0.21002430600000002,0.135726229,0.098351922,0.086675197
Solomon Islands,2.15664129,2.1189409009999998,2.076577055,2.027864725,1.976249726
Somalia,2.320627603,2.287968435,2.310510236,2.399954384,2.530424963
South Africa,1.520981111,1.552241754,1.583825768,1.615744656,1.648009331
South Sudan,4.412208716,4.379338118,4.2190251739999995,3.915536494,3.535299267
Spain,0.355338396,0.064925963,-0.32766904,-0.29895105899999996,-0.13479780800000002
Sri Lanka,0.752702375,0.756871948,0.756045842,0.928664473,0.9344294940000001
St. Kitts and Nevis,1.226403601,1.2227292090000002,1.20611739,1.177184174,1.136499257
St. Lucia,1.05475149,0.895143802,0.779199691,0.732343757,0.734587346
St. Martin (French part),1.24898912,1.117366353,0.98035274,0.84721977,0.70792281
St. Vincent and the Grenadines,0.022866865,-0.006402195,-0.006402605,0.030180121,0.093226465
Sudan,2.199935755,2.12850184,2.10607592,2.1452695619999997,2.223139283
Suriname,1.017309413,0.968852816,0.925631735,0.895407485,0.874385787
Swaziland,1.6054511630000001,1.5740753580000002,1.526576224,1.466122343,1.3973175009999999
Sweden,0.7551501340000001,0.739763272,0.847348652,0.9922197290000001,1.0542400809999999
Switzerland,1.111878943,1.061819329,1.149879758,1.220103973,1.193619877
Syrian Arab Republic,-1.064665967,-2.5812302330000003,-3.3394475989999997,-2.8883012160000003,-1.449086486
Tajikistan,2.246224545,2.257101207,2.256120085,2.2422804640000003,2.217499154
Tanzania,3.178986665,3.18024412,3.17194552,3.1543694280000003,3.130185102
Thailand,0.315781584,0.389614385,0.426833946,0.406217867,0.344002136
Timor-Leste,4.938169461,2.51768206,2.671746667,2.678725623,2.678741046
Togo,2.7064644,2.695554347,2.67873238,2.6553193,2.6273134259999997
Tonga,0.42718903,0.36048824399999996,0.35253576200000003,0.424250251,0.55157963
Trinidad and Tobago,0.502839147,0.507330234,0.495275973,0.461979352,0.41295718299999995
Tunisia,1.19412,0.9668487020000001,1.006286187,1.00626446,1.006143013
Turkey,1.6548514019999998,1.795854989,1.81963886,1.6913193519999998,1.462404951
Turkmenistan,1.274608293,1.289346555,1.28969065,1.272383604,1.241770937
Turks and Caicos Islands,2.3406680840000003,2.191586694,2.05399924,1.90601644,1.759765737
Tuvalu,0.172843315,0.162403609,0.162140287,0.17198648600000002,0.232217783
Uganda,3.2963345580000003,3.274085878,3.2591510660000003,3.25376537,3.253313645
Ukraine,-0.359480081,-0.24709923,-0.22770475,-0.278913805,-0.363732732
United Arab Emirates,4.750832934,2.463139721,0.9719226470000001,0.509332471,0.776450801
United Kingdom,0.7816772890000001,0.6953158429999999,0.669533807,0.753349499,0.809355273
United States,0.7638500909999999,0.761807514,0.737405823,0.7806966059999999,0.7844226259999999
Uruguay,0.33124173,0.32858784,0.32965373600000003,0.338250791,0.35144906200000003
Uzbekistan,2.684015505,1.472099988,1.5619043330000002,1.686900359,1.7461753569999998
Vanuatu,2.332724587,2.2977303030000003,2.26389489,2.233477212,2.203953324
"Venezuela, RB",1.4784967830000002,1.43927434,1.402999946,1.3704753680000001,1.34061295
Vietnam,1.061609762,1.074219517,1.064362311,1.074206788,1.0687878659999999
Virgin Islands (U.S.),-0.455551575,-0.482330521,-0.512352796,-0.542826609,-0.573784692
"Yemen, Rep.",2.688890887,2.638108669,2.580375171,2.515593122,2.4467054719999997
Zambia,3.0156032489999998,3.0421389710000004,3.060273408,3.069640155,3.0718120669999998
Zimbabwe,1.995816152,2.15052321,2.257866817,2.307451177,2.3139582030000003
